search_term,match_rank,loinc,loinc_url,status,long_common_name,short_name,class_type,component,property,time_aspect,system,scale_type,method_type,example_units,class
CLOTTING TIME,21,52775-4,https://loinc.org/52775-4,ACTIVE,Clotting time.intrinsic coagulation system activated.heparin insensitive of Blood by Rotational TEG,CT.heparin insens Bld ROTEM,1,Clotting time.intrinsic coagulation system activated.heparin insensitive,Time,Pt,Bld,Qn,Thromboelastography.rotational,s,COAG
CLOTTING TIME,22,100346-6,https://loinc.org/100346-6,ACTIVE,Clotting time.extrinsic coagulation system activated.platelets inhibited of Blood by Rotational TEG,CT.extr plt inhib Bld ROTEM,1,Clotting time.extrinsic coagulation system activated.platelets inhibited,Time,Pt,Bld,Qn,Thromboelastography.rotational,s,COAG
CLOTTING TIME,23,55347-9,https://loinc.org/55347-9,ACTIVE,Ecarin clotting time (ECT) in Blood by Coagulation assay,ECT Bld,1,Coagulation ecarin induced,Time,Pt,Bld,Qn,Coag,s,COAG
CLOTTING TIME,24,60242-5,https://loinc.org/60242-5,ACTIVE,Ecarin clotting time (ECT) in Platelet poor plasma by Coagulation assay,ECT PPP,1,Coagulation ecarin induced,Time,Pt,PPP,Qn,Coag,s,COAG
CLOTTING TIME,25,80202-5,https://loinc.org/80202-5,ACTIVE,Clotting time of depleted plasma with 1:1 phospholipid by Coagulation assay --after addition of factor X activated,PPL p Fxa PPP,1,Clotting time of depleted plasma with 1:1 phospholipid^after addition of factor X activated,Time,Pt,PPP,Qn,Coag,s,COAG
CLOTTING TIME,26,96683-8,https://loinc.org/96683-8,ACTIVE,Activated clotting time.glass bead induced of Blood by Microviscometry --post heparin neutralization,ACT Glass Bead Ind HepNtr Bld MicrVisc,1,Activated clotting time.glass bead induced^post heparin neutralization,Time,Pt,Bld,Qn,Microviscometry,s,COAG
CLOTTING TIME,27,15159-7,https://loinc.org/15159-7,ACTIVE,Coagulation factor extrinsic pathway [Interpretation] in Platelet poor plasma Narrative,Extrins clotting path PPP-Imp,1,Coagulation factor.extrinsic pathway,Imp,Pt,PPP,Nar,,,COAG
CLOTTING TIME,28,3184-9,https://loinc.org/3184-9,ACTIVE,Activated clotting time (ACT) of Blood by Coagulation assay,ACT Bld,1,Activated clotting time,Time,Pt,Bld,Qn,Coag,s,COAG
CLOTTING TIME,29,48054-1,https://loinc.org/48054-1,ACTIVE,Kaolin activated time [Units/volume] in Blood,KCT Bld-aCnc,1,Coagulation kaolin induced,ACnc,Pt,Bld,Qn,,,COAG
CLOTTING TIME,30,21032-8,https://loinc.org/21032-8,ACTIVE,Thrombin time [Interpretation] in Blood,TT Bld-Imp,1,Coagulation thrombin induced,Imp,Pt,Bld,Nom,,,COAG
CLOTTING TIME,31,3243-3,https://loinc.org/3243-3,ACTIVE,Thrombin time,Thrombin time,1,Coagulation thrombin induced,Time,Pt,PPP,Qn,Coag,s,COAG
CLOTTING TIME,32,52768-9,https://loinc.org/52768-9,ACTIVE,Clot formation [Time] in Blood by Thromboelastography,CFT Bld TEG,1,Clot formation,Time,Pt,Bld,Qn,Thromboelastography,s,COAG
CLOTTING TIME,33,13053-4,https://loinc.org/13053-4,ACTIVE,Kaolin activated time [Units/volume] in Platelet poor plasma,KCT PPP-aCnc,1,Coagulation kaolin induced,ACnc,Pt,PPP,Qn,,,COAG
CLOTTING TIME,36,82794-9,https://loinc.org/82794-9,ACTIVE,Spontaneous clot formation [Time] in Platelet poor plasma,CFT.spont PPP,1,Clot formation.spontaneous,Time,Pt,PPP,Qn,Coag,min,COAG
CLOTTING TIME,37,68325-0,https://loinc.org/68325-0,ACTIVE,Thrombin time actual/Normal,Thrombin time/normal,1,Coagulation thrombin induced actual/Normal,RelTime,Pt,PPP,Qn,Coag,%,COAG
CLOTTING TIME,38,69918-1,https://loinc.org/69918-1,ACTIVE,Thrombin time.high dose in Platelet poor plasma by Coagulation assay,HiTT PPP,1,Coagulation thrombin induced.high dose,Time,Pt,PPP,Qn,Coag,s,COAG
CLOTTING TIME,39,82798-0,https://loinc.org/82798-0,ACTIVE,Clot formation lag time in Platelet poor plasma,Clot form lag PPP,1,Clot formation lag time,Time,Pt,PPP,Qn,Coag,min,COAG
CLOTTING TIME,40,101998-3,https://loinc.org/101998-3,ACTIVE,Clot formation.kaolin induced [Time] in Blood by Thromboelastography,CFT form kaolin ind Bld TEG,1,Clot formation.kaolin induced,Time,Pt,Bld,Qn,Thromboelastography,min,COAG
CLOTTING TIME,41,97010-3,https://loinc.org/97010-3,ACTIVE,Clot formation kaolin+tissue factor induced [Time] in Blood,CFT kaolin+TF ind Bld,1,Clot formation.kaolin+tissue factor induced,Time,Pt,Bld,Qn,,min,COAG
CLOTTING TIME,42,5955-0,https://loinc.org/5955-0,ACTIVE,Thrombin time in Control Platelet poor plasma by Coagulation assay,TT Cont PPP,1,Coagulation thrombin induced,Time,Pt,PPP^Control,Qn,Coag,s,COAG
CLOTTING TIME,43,96690-3,https://loinc.org/96690-3,ACTIVE,Clot formation.kaolin induced panel - Blood by Microviscometry,Clot Form Kaolin Ind Pnl Bld MicrVisc,1,Clot formation.kaolin induced panel,-,Pt,Bld,-,Microviscometry,,PANEL.COAG
CLOTTING TIME,44,99763-5,https://loinc.org/99763-5,ACTIVE,Clot formation.kaolin induced [Time] in Blood by Resonance TEG,CFT form kaolin ind Bld Res TEG,1,Clot formation.kaolin induced,Time,Pt,Bld,Qn,Thromboelastography.resonance,min,COAG
CLOTTING TIME,45,66753-5,https://loinc.org/66753-5,ACTIVE,Clot formation [Time] in Blood by Thromboelastography --after addition of heparinase,CFT P Hpase Bld TEG,1,Clot formation^after addition of heparinase,Time,Pt,Bld,Qn,Thromboelastography,min,COAG
CLOTTING TIME,46,96687-9,https://loinc.org/96687-9,ACTIVE,Clot formation.diatomaceous earth induced panel - Blood by Microviscometry,Clt Frm Diat Erth Ind Pnl Bld MicrVisc,1,Clot formation.diatomaceous earth induced panel,-,Pt,Bld,-,Microviscometry,,PANEL.COAG
CLOTTING TIME,47,96689-5,https://loinc.org/96689-5,ACTIVE,Clot formation.glass bead induced panel - Blood by Microviscometry,Clt Frm Glss Bd Ind Pnl Bld MicrVisc,1,Clot formation.glass bead induced panel,-,Pt,Bld,-,Microviscometry,,PANEL.COAG
CLOTTING TIME,48,52770-5,https://loinc.org/52770-5,ACTIVE,Clot formation.extrinsic coagulation system activated [Time] in Blood by Rotational TEG,CFT.extrinsic Bld ROTEM,1,Clot formation.extrinsic coagulation system activated,Time,Pt,Bld,Qn,Thromboelastography.rotational,s,COAG
CLOTTING TIME,49,52771-3,https://loinc.org/52771-3,ACTIVE,Clot formation.intrinsic coagulation system activated [Time] in Blood by Rotational TEG,CFT.intrinsic Bld ROTEM,1,Clot formation.intrinsic coagulation system activated,Time,Pt,Bld,Qn,Thromboelastography.rotational,s,COAG
CLOTTING TIME,50,46224-2,https://loinc.org/46224-2,ACTIVE,Thrombin time in Platelet poor plasma by Coagulation assay --after addition of heparinase,TT P Hpase PPP,1,Coagulation thrombin induced^after addition of heparinase,Time,Pt,PPP,Qn,Coag,s,COAG
RDW,3,30385-9,https://loinc.org/30385-9,ACTIVE,Erythrocyte [DistWidth] in Red Blood Cells,RDW RBC,1,Observation,DistWidth,Pt,RBC,Qn,,%,HEM/BC
RDW,4,47277-9,https://loinc.org/47277-9,ACTIVE,Erythrocyte [DistWidth] in Red Blood Cells from Cord blood,RDW RBC BldCo,1,Observation,DistWidth,Pt,RBC^BldCo,Qn,,%,HEM/BC
RDW,5,788-0,https://loinc.org/788-0,ACTIVE,Erythrocyte [DistWidth] in Red Blood Cells by Automated count,RDW RBC Auto,1,Observation,DistWidth,Pt,RBC,Qn,Automated count,%,HEM/BC
RDW,6,62247-2,https://loinc.org/62247-2,ACTIVE,Erythrocyte [DistWidth] in Red Blood Cells from Fetus by Automated count,RDW RBC Fetus Auto,1,Observation,DistWidth,Pt,RBC^Fetus,Qn,Automated count,%,HEM/BC
PCT,3,31337-9,https://loinc.org/31337-9,ACTIVE,Cytotoxic percent reactive Ab [Presence] in Serum,Ctox Pct React Ab Ser Ql,1,Cytotoxic percent reactive Ab,PrThr,Pt,Ser,Ord,,,HEM/BC
PCT,4,4535-1,https://loinc.org/4535-1,ACTIVE,Cytotoxic percent reactive Ab [Presence] in Serum by Quick method,Ctox Pct React Ab Ser Ql Qck,1,Cytotoxic percent reactive Ab,PrThr,Pt,Ser,Ord,Quick method,,HEM/BC
PCT,5,10601-3,https://loinc.org/10601-3,ACTIVE,Spermatozoa penetration [Presence] in Seminal fluid and Cervical mucosa --post coitus,Sperm Pen PCT Smn+Cvm Ql,1,Spermatozoa penetration^post coitus,PrThr,Pt,Semen+Cvm,Ord,,,FERT
PCT,6,99099-4,https://loinc.org/99099-4,ACTIVE,Procalcitonin [Moles/volume] in Serum or Plasma,Procalcitonin SerPl-sCnc,1,Procalcitonin,SCnc,Pt,Ser/Plas,Qn,,nmol/L,CHEM
PCT,7,33959-8,https://loinc.org/33959-8,ACTIVE,Procalcitonin [Mass/volume] in Serum or Plasma,Procalcitonin SerPl-mCnc,1,Procalcitonin,MCnc,Pt,Ser/Plas,Qn,,ng/mL,CHEM
PCT,8,51637-7,https://loinc.org/51637-7,ACTIVE,Plateletcrit [Volume Fraction] in Blood,Plateletcrit VFr Bld,1,Plateletcrit,VFr,Pt,Bld,Qn,,%,HEM/BC
PCT,9,75241-0,https://loinc.org/75241-0,ACTIVE,Procalcitonin [Mass/volume] in Serum or Plasma by Immunoassay,Procalcitonin SerPl IA-mCnc,1,Procalcitonin,MCnc,Pt,Ser/Plas,Qn,IA,ng/mL,CHEM
Volume,5,99519-1,https://loinc.org/99519-1,ACTIVE,Volume of Gallbladder,Volume GB,1,Volume,Vol,Pt,Gallbladder,Qn,,mL,PATH
Volume,6,99531-6,https://loinc.org/99531-6,ACTIVE,Volume of Pericardial space,Volume Pericardial space,1,Volume,Vol,Pt,Pericardial space,Qn,,mL,PATH
Volume,7,99532-4,https://loinc.org/99532-4,ACTIVE,Volume of Peritoneal space,Volume Peritoneal space,1,Volume,Vol,Pt,Peritoneal space,Qn,,mL,PATH
Volume,9,80724-8,https://loinc.org/80724-8,ACTIVE,Estimated Non-liquefied volume [Volume Fraction] in Semen,Non-liquefact vol/Total vol VFr Smn Est,1,Non-liquefied volume/Volume.total,VFr,Pt,Semen,Qn,Estimated,%,FERT
Volume,11,99530-8,https://loinc.org/99530-8,ACTIVE,Volume of Pleural space - left,Volume Pl space-L,1,Volume,Vol,Pt,Pleural space.left,Qn,,mL,PATH
Volume,12,99529-0,https://loinc.org/99529-0,ACTIVE,Volume of Pleural space - right,Volume Pl space-R,1,Volume,Vol,Pt,Pleural space.right,Qn,,mL,PATH
Volume,14,33514-1,https://loinc.org/33514-1,ACTIVE,Volume of Sweat,Specimen vol Sweat,1,Specimen volume,Vol,Pt,Sweat,Qn,,mL,SPEC
Volume,16,32801-3,https://loinc.org/32801-3,ACTIVE,Volume of Bronchial specimen,Specimen vol Bronch,1,Specimen volume,Vol,Pt,Bronchial,Qn,,mL,SPEC
Volume,17,3159-1,https://loinc.org/3159-1,ACTIVE,Volume of Plasma,Specimen vol Plas,1,Specimen volume,Vol,Pt,Plas,Qn,,L,SPEC
Volume,21,48706-6,https://loinc.org/48706-6,ACTIVE,Reticulocyte mean volume [Entitic volume] in Reticulocytes,RMV Retic,1,Reticulocyte mean volume,EntVol,Pt,Retic,Qn,,fL,HEM/BC
Volume,22,3157-5,https://loinc.org/3157-5,ACTIVE,Volume of Blood,Specimen vol Bld,1,Specimen volume,Vol,Pt,Bld,Qn,,mL/beat,SPEC
Volume,23,38200-2,https://loinc.org/38200-2,ACTIVE,Volume of Sputum,Specimen vol Spt,1,Specimen volume,Vol,Pt,Sputum,Qn,,cm3,SPEC
Volume,24,28009-9,https://loinc.org/28009-9,ACTIVE,Volume of Urine,Specimen vol Ur,1,Specimen volume,Vol,Pt,Urine,Qn,,mL,SPEC
Volume,25,1322-7,https://loinc.org/1322-7,ACTIVE,Transfusion volume,Transf Vol BPU,1,Transfusion volume,Vol,*,^BPU,Qn,,mL,BLDBK
Volume,26,58989-5,https://loinc.org/58989-5,ACTIVE,Volume of 18 hour Urine,Specimen vol 18h Ur,1,Specimen volume,Vol,18H,Urine,Qn,,mL,SPEC
Volume,27,17600-8,https://loinc.org/17600-8,ACTIVE,Volume of 6 hour Urine,Specimen vol 6h Ur,1,Specimen volume,Vol,6H,Urine,Qn,,mL,SPEC
Volume,28,21530-1,https://loinc.org/21530-1,ACTIVE,Volume of 10 hour Urine,Specimen vol 10h Ur,1,Specimen volume,Vol,10H,Urine,Qn,,mL,SPEC
Volume,29,13620-0,https://loinc.org/13620-0,ACTIVE,Volume of 12 hour Urine,Specimen vol 12h Ur,1,Specimen volume,Vol,12H,Urine,Qn,,mL,SPEC
Volume,30,17604-0,https://loinc.org/17604-0,ACTIVE,Volume of 24 hour Sweat,Specimen vol 24h Sweat,1,Specimen volume,Vol,24H,Sweat,Qn,,mL,SPEC
Volume,32,3167-4,https://loinc.org/3167-4,ACTIVE,Volume of 24 hour Urine,Specimen vol 24h Ur,1,Specimen volume,Vol,24H,Urine,Qn,,Liters; mL,SPEC
Volume,33,12255-6,https://loinc.org/12255-6,ACTIVE,Volume of 5 hour Urine,Specimen vol 5h Ur,1,Specimen volume,Vol,5H,Urine,Qn,,L,SPEC
Volume,34,40671-0,https://loinc.org/40671-0,ACTIVE,Volume of 72 hour Urine,Specimen vol 72h Ur,1,Specimen volume,Vol,72H,Urine,Qn,,L,SPEC
Volume,35,21529-3,https://loinc.org/21529-3,ACTIVE,Volume of 8 hour Urine,Specimen vol 8h Ur,1,Specimen volume,Vol,8H,Urine,Qn,,mL,SPEC
Volume,36,34979-5,https://loinc.org/34979-5,ACTIVE,Volume of Pleural fluid,Specimen vol Plr,1,Specimen volume,Vol,Pt,Plr fld,Qn,,mL,SPEC
Volume,37,17602-4,https://loinc.org/17602-4,ACTIVE,Volume of Seminal plasma,Specimen vol Semin plas,1,Specimen volume,Vol,Pt,Semin plas,Qn,,mL,SPEC
Volume,38,17601-6,https://loinc.org/17601-6,ACTIVE,Volume of 24 hour Sputum,Specimen vol 24h Spt,1,Specimen volume,Vol,24H,Sputum,Qn,,mL,SPEC
Volume,39,12457-8,https://loinc.org/12457-8,ACTIVE,Volume of Dialysis fluid,Specimen vol Dial fld,1,Specimen volume,Vol,Pt,Dial fld,Qn,,mL,SPEC
Volume,40,17606-5,https://loinc.org/17606-5,ACTIVE,Volume of Stool,Specimen vol Stl,1,Specimen volume,Vol,Pt,Stool,Qn,,mL,SPEC
Volume,41,19153-6,https://loinc.org/19153-6,ACTIVE,Volume in Urine collected for unspecified duration,Specimen vol ?Tm Ur,1,Specimen volume,Vol,XXX,Urine,Qn,,mL,SPEC
Volume,42,30898-1,https://loinc.org/30898-1,ACTIVE,Plasma volume by Scintigraphy,Plasma Vol RI,1,Plasma volume,Vol,Pt,^Patient,Qn,Radnuc,mL,CHEM
Volume,44,51641-9,https://loinc.org/51641-9,ACTIVE,Mean sphered cell volume [Entitic volume] in Red Blood Cells,MSCV RBC,1,Mean sphered cell volume,EntVol,Pt,RBC,Qn,,fl,HEM/BC
Volume,45,30899-9,https://loinc.org/30899-9,ACTIVE,Blood volume by Scintigraphy,Bld Vol RI,1,Blood volume,Vol,Pt,^Patient,Qn,Radnuc,mL,CHEM
Volume,47,13495-7,https://loinc.org/13495-7,ACTIVE,Volume of 24 hour Dialysis fluid,Specimen vol 24h Dial fld,1,Specimen volume,Vol,24H,Dial fld,Qn,,L,SPEC
Volume,48,13619-2,https://loinc.org/13619-2,ACTIVE,Volume of 2 hour Urine,Specimen vol 2h Ur,1,Specimen volume,Vol,2H,Urine,Qn,,mL,SPEC
Volume,49,18352-5,https://loinc.org/18352-5,ACTIVE,Volume of 4 hour Urine,Specimen vol 4h Ur,1,Specimen volume,Vol,4H,Urine,Qn,,mL,SPEC
Volume,50,3156-7,https://loinc.org/3156-7,ACTIVE,Volume of Amniotic fluid,Specimen vol Amn,1,Specimen volume,Vol,Pt,Amnio fld,Qn,,mL,SPEC
Serum AFP,1,96451-0,https://loinc.org/96451-0,ACTIVE,Alpha-1-Fetoprotein and Alpha-1-Fetoprotein.L3 panel - Serum or Plasma,AFP+AFP.L3 Pnl SerPl,1,Alpha-1-Fetoprotein & Alpha-1-Fetoprotein.L3 panel,-,Pt,Ser/Plas,-,,,PANEL.CHEM
Serum AFP,2,42332-7,https://loinc.org/42332-7,ACTIVE,Alpha-1-Fetoprotein L3/Alpha-1-fetoprotein.total in Serum or Plasma,AFP L3 MFr SerPl,1,Alpha-1-Fetoprotein.L3/Alpha-1-Fetoprotein.total,MFr,Pt,Ser/Plas,Qn,,%,CHEM
Serum AFP,3,90293-2,https://loinc.org/90293-2,ACTIVE,Liver cancer antibodies and AFP panel - Serum or Plasma by Immunoassay,Liver cancer Ab + AFP pnl SerPl IA,1,Liver cancer antibodies & Alpha-1-Fetoprotein panel,-,Pt,Ser/Plas,-,IA,,PANEL.SERO
Serum AFP,4,41274-2,https://loinc.org/41274-2,ACTIVE,Alpha-1-Fetoprotein interpretation in Serum or Plasma,AFP Interp SerPl-Imp,1,Alpha-1-Fetoprotein interpretation,Imp,Pt,Ser/Plas,Nom,,,CHEM
Serum AFP,5,49246-2,https://loinc.org/49246-2,ACTIVE,Alpha-1-Fetoprotein interpretation in Serum or Plasma Narrative,AFP Interp SerPl-Imp,1,Alpha-1-Fetoprotein interpretation,Imp,Pt,Ser/Plas,Nar,,,CHEM
Serum AFP,6,90292-4,https://loinc.org/90292-4,ACTIVE,Liver cancer antibodies and AFP [Interpretation] in Serum or Plasma Qualitative,Liver cancer Ab + AFP SerPl-Imp,1,Liver cancer antibodies & Alpha-1-Fetoprotein,Imp,Pt,Ser/Plas,Ord,,,SERO
Serum AFP,7,49585-3,https://loinc.org/49585-3,ACTIVE,Alpha-1-Fetoprotein multiple of the median cutoff [Multiple of the median] in Serum or Plasma,AFP MoM c/o MoM SerPl,1,Alpha-1-Fetoprotein multiple of the median cutoff,MoM,Pt,Ser/Plas,Qn,,M.o.M,CHEM
Serum AFP,8,48802-3,https://loinc.org/48802-3,ACTIVE,Alpha-1-Fetoprotein panel - Serum or Plasma,AFP Pnl SerPl,1,Alpha-1-fetoprotein panel,-,Pt,Ser/Plas,-,,,PANEL.CHEM
Serum AFP,9,99077-0,https://loinc.org/99077-0,ACTIVE,Alpha-1-Fetoprotein L3 [Mass/volume] in Serum or Plasma by Immunoassay,AFP L3 SerPl IA-mCnc,1,Alpha-1-Fetoprotein.L3,MCnc,Pt,Ser/Plas,Qn,IA,ng/mL,CHEM
Serum AFP,10,31993-9,https://loinc.org/31993-9,ACTIVE,Alpha-1-Fetoprotein [Presence] in Serum or Plasma,AFP SerPl Ql,1,Alpha-1-Fetoprotein,PrThr,Pt,Ser/Plas,Ord,,,CHEM
Serum AFP,11,53961-9,https://loinc.org/53961-9,ACTIVE,Alpha-1-fetoprotein.tumor marker [Units/volume] in Serum or Plasma,AFP-TM SerPl-aCnc,1,Alpha-1-Fetoprotein.tumor marker,ACnc,Pt,Ser/Plas,Qn,,arb U/mL,CHEM
Serum AFP,12,53960-1,https://loinc.org/53960-1,ACTIVE,Alpha-1-fetoprotein.tumor marker [Moles/volume] in Serum or Plasma,AFP-TM SerPl-sCnc,1,Alpha-1-Fetoprotein.tumor marker,SCnc,Pt,Ser/Plas,Qn,,umol/L,CHEM
Serum AFP,13,19176-7,https://loinc.org/19176-7,ACTIVE,Alpha-1-Fetoprotein [Units/volume] in Serum or Plasma,AFP SerPl-aCnc,1,Alpha-1-Fetoprotein,ACnc,Pt,Ser/Plas,Qn,,arb U/mL,CHEM
Serum AFP,14,1834-1,https://loinc.org/1834-1,ACTIVE,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,AFP SerPl-mCnc,1,Alpha-1-Fetoprotein,MCnc,Pt,Ser/Plas,Qn,,ug/L;ng/mL,CHEM
Serum AFP,15,20450-3,https://loinc.org/20450-3,ACTIVE,Alpha-1-Fetoprotein [Multiple of the median] in Serum or Plasma,AFP MoM SerPl,1,Alpha-1-Fetoprotein,MoM,Pt,Ser/Plas,Qn,,M.o.M,CHEM
Serum AFP,16,19177-5,https://loinc.org/19177-5,ACTIVE,Alpha-1-Fetoprotein [Moles/volume] in Serum or Plasma,AFP SerPl-sCnc,1,Alpha-1-Fetoprotein,SCnc,Pt,Ser/Plas,Qn,,umol/L,CHEM
Serum AFP,17,53962-7,https://loinc.org/53962-7,ACTIVE,Alpha-1-fetoprotein.tumor marker [Mass/volume] in Serum or Plasma,AFP-TM SerPl-mCnc,1,Alpha-1-Fetoprotein.tumor marker,MCnc,Pt,Ser/Plas,Qn,,ug/L;ng/mL,CHEM
Serum AFP,18,23811-3,https://loinc.org/23811-3,ACTIVE,Alpha-1-Fetoprotein [Multiple of the median] adjusted in Serum or Plasma,AFP adj MoM SerPl,1,Alpha-1-Fetoprotein^^adjusted,MoM,Pt,Ser/Plas,Qn,,M.o.M,CHEM
Serum AFP,20,83072-9,https://loinc.org/83072-9,ACTIVE,Alpha-1-Fetoprotein [Units/volume] in Serum or Plasma by Immunoassay,AFP SerPl IA-aCnc,1,Alpha-1-Fetoprotein,ACnc,Pt,Ser/Plas,Qn,IA,IU/mL,CHEM
Serum AFP,21,83073-7,https://loinc.org/83073-7,ACTIVE,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma by Immunoassay,AFP SerPl IA-mCnc,1,Alpha-1-Fetoprotein,MCnc,Pt,Ser/Plas,Qn,IA,ug/L,CHEM
Serum AFP,22,43998-4,https://loinc.org/43998-4,ACTIVE,Alpha-1-Fetoprotein [Multiple of the median] adjusted for diabetes in Serum or Plasma,AFP Diabetes adj MoM SerPl,1,Alpha-1-Fetoprotein^^adjusted for diabetes,MoM,Pt,Ser/Plas,Qn,,M.o.M,CHEM
Serum AFP,23,43996-8,https://loinc.org/43996-8,ACTIVE,Alpha-1-Fetoprotein [Multiple of the median] adjusted for diabetes+weight in Serum or Plasma,AFP Diabetes+wt adj MoM SerPl,1,Alpha-1-Fetoprotein^^adjusted for diabetes+weight,MoM,Pt,Ser/Plas,Qn,,M.o.M,CHEM
Serum AFP,24,50610-5,https://loinc.org/50610-5,ACTIVE,Alpha-1-Fetoprotein [Multiple of the median] adjusted for multiple gestations in Serum or Plasma,AFP mult gest adj MoM SerPl,1,Alpha-1-Fetoprotein^^adjusted for multiple gestations,MoM,Pt,Ser/Plas,Qn,,M.o.M,CHEM
Serum AFP,25,43997-6,https://loinc.org/43997-6,ACTIVE,Alpha-1-Fetoprotein [Multiple of the median] adjusted for weight in Serum or Plasma,AFP Wt adj MoM SerPl,1,Alpha-1-Fetoprotein^^adjusted for weight,MoM,Pt,Ser/Plas,Qn,,M.o.M,CHEM
Serum AFP,26,90290-8,https://loinc.org/90290-8,ACTIVE,Alpha-1-Fetoprotein Ab [Units/volume] in Serum or Plasma by Immunoassay,AFP Ab SerPl IA-aCnc,1,Alpha-1-Fetoprotein Ab,ACnc,Pt,Ser/Plas,Qn,IA,arb U/mL,SERO
Serum AFP,27,35086-8,https://loinc.org/35086-8,ACTIVE,Second trimester triple maternal screen panel - Serum or Plasma,2nd trimester 3 screen Pnl SerPl,1,Second trimester triple maternal screen panel,-,Pt,Ser/Plas,-,,,PANEL.CHEM
Serum AFP,29,49572-1,https://loinc.org/49572-1,ACTIVE,Second trimester triple maternal screen [Interpretation] in Serum or Plasma Narrative,2nd trimester 3 screen SerPl-Imp,1,Second trimester triple maternal screen,Imp,Pt,Ser/Plas,Nar,,,CHEM
Serum Albumin,1,63549-0,https://loinc.org/63549-0,ACTIVE,Albumin in serum - albumin in peritoneal fluid [Mass concentration difference],Albumin ser-prt fld-MCDiff,1,Albumin.serum-Albumin.periton fld,MCncDiff,Pt,Periton fld+Ser/Plas,Qn,,g/dL,CHEM
Serum Albumin,3,72647-1,https://loinc.org/72647-1,ACTIVE,Albumin in serum - albumin in pleural fluid [Mass concentration difference],Albumin ser-plr fld-MCDiff,1,Albumin.serum-albumin.plr fld,MCncDiff,Pt,Ser/Plas+Plr fld,Qn,,g/L,CHEM
Serum Albumin,4,72646-3,https://loinc.org/72646-3,ACTIVE,Albumin in serum - albumin in pericardial fluid [Mass concentration difference],Albumin ser-peric fld-MCDiff,1,Albumin.serum-albumin.pericard fld,MCncDiff,Pt,Pericard fld+Ser/Plas,Qn,,g/dL,CHEM
Serum Albumin,5,35706-1,https://loinc.org/35706-1,ACTIVE,Albumin/Protein.total in Serum or Plasma,Albumin MFr SerPl,1,Albumin/Protein.total,MFr,Pt,Ser/Plas,Qn,,%,CHEM
Serum Albumin,6,1756-6,https://loinc.org/1756-6,ACTIVE,Albumin in CSF/Albumin in Serum or Plasma,Alb CSF/SerPl,1,Albumin.CSF/Albumin.SerPl,RelRto,Pt,Ser/Plas+CSF,Qn,,Ratio,CHEM
Serum Albumin,7,13873-5,https://loinc.org/13873-5,ACTIVE,Albumin.glycated/Albumin.total in Serum or Plasma,Albumin Glycated MFr SerPl,1,Albumin.glycated/Albumin.total,MFr,Pt,Ser/Plas,Qn,,%,CHEM
Serum Albumin,9,13980-8,https://loinc.org/13980-8,ACTIVE,Albumin/Protein.total in Serum or Plasma by Electrophoresis,Albumin MFr SerPl Elph,1,Albumin/Protein.total,MFr,Pt,Ser/Plas,Qn,Electrophoresis,%,CHEM
Serum Albumin,10,72598-6,https://loinc.org/72598-6,ACTIVE,Albumin/Protein.total [Pure mass fraction] in Serum or Plasma by Electrophoresis,Albumin MFr.DF SerPl Elph,1,Albumin/Protein.total,MFr.DF,Pt,Ser/Plas,Qn,Electrophoresis,,CHEM
Serum Albumin,11,1751-7,https://loinc.org/1751-7,ACTIVE,Albumin [Mass/volume] in Serum or Plasma,Albumin SerPl-mCnc,1,Albumin,MCnc,Pt,Ser/Plas,Qn,,g/L;g/dL; mg/dL,CHEM
Serum Albumin,12,54347-0,https://loinc.org/54347-0,ACTIVE,Albumin [Moles/volume] in Serum or Plasma,Albumin SerPl-sCnc,1,Albumin,SCnc,Pt,Ser/Plas,Qn,,umol/L,CHEM
Serum Albumin,13,89044-2,https://loinc.org/89044-2,ACTIVE,Basic metabolic and albumin panel - Serum or Plasma,Basic metabolic & albumin panel SerPl,1,Basic metabolic & albumin panel,-,Pt,Ser/Plas,-,,,PANEL.CHEM
Serum Albumin,14,66765-9,https://loinc.org/66765-9,ACTIVE,Albumin in pericardial fld/Albumin in Serum or Plasma,Alb Pcar/SerPl,1,Albumin.pericard fld/Albumin.SerPl,RelRto,Pt,Pericard fld+Ser/Plas,Qn,,Ratio,CHEM
Serum Albumin,15,66766-7,https://loinc.org/66766-7,ACTIVE,Albumin in peritoneal fluid/Albumin in Serum or Plasma,Alb Prt/SerPl,1,Albumin.periton fld/Albumin.SerPl,RelRto,Pt,Periton fld+Ser/Plas,Qn,,Ratio,CHEM
Serum Albumin,16,106530-9,https://loinc.org/106530-9,ACTIVE,Albumin.glycated/Albumin.total [Molar ratio] in Serum or Plasma by Immunoassay,Albumin Glycated SerPl IA-sRto,1,Albumin.glycated/Albumin.total,SRto,Pt,Ser/Plas,Qn,IA,mmol/mol,CHEM
Serum Albumin,17,65788-2,https://loinc.org/65788-2,ACTIVE,Horse serum albumin native (nEqu c) 3 IgE Ab [Units/volume] in Serum,Horse serum albumin (nEqu c) 3 IgE Qn,1,Horse serum albumin native (nEqu c) 3 Ab.IgE,ACnc,Pt,Ser,Qn,,IU/mL,ALLERGY
